customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4217-KZETI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,88.88,426.7,No
7847-VWLEC,Male,0,Yes,No,0,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Electronic check,68.35,8.84,No
7701-NBMON,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),108.94,124.29,No
7772-WTCNW,Male,0,Yes,No,53,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,98.46,5212.89,Yes
8781-HIOEL,Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card (automatic),72.4,212.08,No
5139-IZQCO,Male,0,Yes,No,0,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),71.28,0.0,Yes
8982-LFAAO,Male,0,No,No,58,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,55.0,3174.25,No
2693-QICZB,Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),28.34,48.93,No
2789-YPYKY,Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),25.86,1755.46,No
1706-ZTUOQ,Male,1,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),89.6,355.14,No
5935-NGWUR,Female,1,Yes,No,51,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,90.6,4608.85,Yes
9775-JHVOX,Female,0,No,No,3,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,48.25,146.97,Yes
7842-SIISS,Female,0,No,Yes,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,93.17,4939.63,Yes
8471-KZZLF,Female,0,No,No,68,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),113.8,7733.67,No
6134-CVHBV,Male,0,No,No,55,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,98.71,5446.44,No
3562-ADUCP,Female,1,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.66,1622.9,No
8753-LAAHQ,Male,0,No,Yes,55,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Electronic check,52.88,2915.58,No
6765-EIBAF,Female,1,Yes,No,68,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),59.11,4010.88,No
7303-AXIWY,Female,1,Yes,No,0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,102.42,17.53,Yes
7866-OJJZS,Female,0,No,No,12,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),92.8,1122.45,No
7116-BHIKX,Male,0,Yes,No,59,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Mailed check,61.29,3613.74,No
5841-UEKPY,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,78.05,93.21,Yes
8266-KDRCF,Male,1,Yes,No,60,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),45.82,2735.37,No
5851-XEMKV,Female,0,No,Yes,6,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Electronic check,99.91,606.06,Yes
1683-NPGJP,Male,1,Yes,Yes,57,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,81.44,4633.2,No
1517-ISBKR,Female,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.62,355.83,Yes
3426-HOLIX,Male,0,No,Yes,17,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),113.63,1923.33,No
5597-RAQMM,Male,1,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,20.6,126.78,No
4842-BQUKU,Female,0,Yes,No,61,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),90.31,5506.11,No
3066-VWRKY,Male,0,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,27.53,1765.24,No
3381-GPJLP,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),26.09,9.14,No
9768-GDULM,Female,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,101.55,386.33,Yes
8531-LFKRE,Female,0,No,No,4,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,93.94,387.1,No
8212-PUPVP,Female,0,Yes,No,10,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,111.33,1104.3,No
3607-OQANI,Female,1,No,Yes,60,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Mailed check,77.33,4647.61,No
6872-AXFXZ,Female,1,Yes,No,8,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,67.35,520.36,Yes
9977-LBVHV,Female,0,No,Yes,21,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.02,384.88,No
5537-VEDXV,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,103.37,215.37,Yes
5189-JFMBK,Female,0,No,No,70,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),65.22,4573.73,Yes
9093-VGQCJ,Female,0,No,No,57,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),83.45,4770.68,No
7531-SMDPL,Female,1,No,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.54,1527.31,No
5134-SPMFB,Male,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),21.22,9.24,Yes
3126-LYPQW,Male,0,Yes,No,34,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),81.15,2762.25,No
7123-PPZEM,Female,0,No,Yes,4,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),54.85,200.23,No
8399-ZWFKH,Female,0,Yes,Yes,9,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Mailed check,92.03,811.81,No
6152-LFCWA,Female,0,Yes,No,71,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),95.43,6772.29,No
3698-DWCZM,Female,0,Yes,Yes,55,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.26,2525.84,No
9839-DZJME,Female,0,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.96,200.48,No
3384-MPRYN,Female,0,Yes,No,2,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),40.36,86.3,No
7988-CJMAN,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),87.75,363.62,No
8147-STEGD,Female,0,Yes,Yes,59,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),53.6,3159.82,No
9715-ZLRMX,Male,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),28.43,169.99,No
3895-DANOR,Female,0,No,No,65,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),41.21,2658.89,No
5557-CTUFW,Male,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,79.81,1052.19,No
2134-ZMIEJ,Female,0,No,Yes,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),28.63,1622.64,No
7043-ALGBB,Female,0,No,Yes,59,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,67.77,3996.47,No
9491-TVRWP,Male,0,No,No,8,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Electronic check,42.31,330.62,No
8319-CJSBZ,Female,1,No,No,67,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,59.91,4001.01,No
3425-PPMUJ,Male,1,Yes,Yes,51,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,87.89,4491.38,Yes
8029-QKSFO,Female,0,Yes,No,60,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),98.25,5891.45,No
5200-SCYXF,Female,1,Yes,No,0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,No,Electronic check,91.99,0.0,No
6740-FQKDP,Male,0,No,No,61,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,64.07,3911.89,No
7441-JVCVR,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),74.12,86.57,Yes
4471-DHAVU,Male,0,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.46,8.35,Yes
3176-QEGWN,Female,0,Yes,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,19.86,1025.3,No
2056-ZNJPP,Male,0,No,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,94.9,5030.94,No
4729-RZISM,Male,0,Yes,Yes,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.73,1213.26,No
4532-ZJLIV,Female,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),25.64,1621.49,No
8965-JRJGD,Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,83.69,164.6,Yes
7852-JRPTC,Male,0,Yes,No,0,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,56.43,12.13,No
2430-BPDYO,Female,1,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.88,1797.63,No
5350-ELFIH,Female,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),28.38,64.42,No
6407-TFRGO,Female,0,No,No,52,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),41.74,2156.43,No
9092-CWPUN,Male,0,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.42,302.45,No
7120-BAJDY,Male,0,Yes,No,3,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),100.14,310.39,No
1864-QJRET,Male,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,63.55,206.55,Yes
4946-OSBWX,Male,0,Yes,No,67,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,103.38,6918.0,No
1705-OGYMU,Male,0,Yes,Yes,53,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),55.62,2951.23,No
8798-OLFXI,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Electronic check,76.89,319.7,No
4821-OWGDW,Male,0,Yes,No,51,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),103.6,5280.23,No
4706-SUNMC,Male,0,Yes,No,63,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,83.31,5242.13,No
4530-POUPL,Male,0,Yes,No,3,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.69,304.27,No
8227-JZZTJ,Female,0,Yes,No,65,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),71.34,4642.58,No
4021-WQTGA,Male,0,No,Yes,62,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,66.89,4141.95,No
9809-MSCAH,Female,0,Yes,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.43,1010.3,No
4075-ZXLFN,Female,1,No,No,55,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,96.66,5316.58,No
1600-LELMP,Female,1,Yes,No,14,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),112.61,1559.28,No
2774-YITXR,Male,1,No,No,14,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,81.1,1151.59,Yes
4649-QRCVD,Male,0,Yes,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.55,963.37,No
8041-KWMFO,Male,0,No,No,5,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,No,Mailed check,41.84,228.57,No
9977-PGDHS,Male,0,Yes,No,6,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,67.95,417.97,No
6389-REYHB,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.09,87.37,No
4286-QPTTC,Male,0,Yes,No,8,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),111.77,907.71,No
5960-KXQVW,Male,0,Yes,Yes,63,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,60.31,3786.46,Yes
3595-VIHTT,Male,1,No,No,71,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),109.81,7784.72,No
3807-RHOPD,Male,0,No,No,11,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,101.71,1131.61,Yes
4331-EHIQZ,Male,1,Yes,No,36,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,100.3,3607.48,Yes
3959-ADBCJ,Female,0,No,No,57,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Mailed check,103.75,5925.42,No
7296-PQIRS,Male,0,Yes,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.62,1364.5,No
4777-VTVTZ,Female,0,Yes,No,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,27.69,1671.04,No
9108-IROSJ,Male,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.58,16.48,No
4072-NWMZD,Female,0,Yes,No,69,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,99.55,6859.81,No
9139-ZTFHI,Male,0,No,Yes,8,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,58.02,476.63,No
9257-MHJYN,Male,0,Yes,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Electronic check,92.37,201.42,Yes
8558-FPZFV,Female,0,No,Yes,57,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),90.15,5144.7,No
8560-TVXBW,Female,1,No,Yes,54,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,52.25,2805.72,No
4584-BAXUM,Female,0,No,No,0,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,86.45,0.0,No
1267-GMKBF,Male,1,No,No,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,79.35,5010.19,No
4789-BLXKQ,Female,0,Yes,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),27.28,287.66,No
2103-SKIYF,Male,0,No,No,9,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),52.1,486.81,No
6867-FLRCO,Male,0,Yes,No,1,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),82.54,91.24,No
8762-RNQZF,Female,0,No,Yes,69,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),74.13,5096.24,Yes
7651-ZCLEU,Female,0,No,No,9,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,53.85,483.8,Yes
